endTime,artistName,trackName,msPlayed
2021-12-11 23:29,Metallica,Fuel,53150
2021-12-12 13:17,Metallica,Fuel,217575
2021-12-12 13:23,Queen,Bohemian Rhapsody - Remastered 2011,354320
2021-12-12 13:28,Shakira,"Ciega, Sordomuda",267826
2021-12-12 13:39,Manu Pilas,Bella Ciao - Música Original de la Serie la Casa de Papel/ Money Heist,38591
2021-12-12 17:27,Daniel Lanois,That's The Way It Is,0
2021-12-12 17:27,Josh Homme,Cruel World,23
2021-12-12 17:27,Gustavo Santaolalla,Beyond Desolation,0
2021-12-12 17:27,Queen,Bohemian Rhapsody - Remastered 2011,784
2021-12-12 17:27,Nirvana,Smells Like Teen Spirit,23
2021-12-12 17:27,Megumi Hayashibara,TSUBASA WO KUDASAI,23
2021-12-12 17:27,Dschinghis Khan,Moskau,0
2021-12-12 17:27,Shakira,"Ciega, Sordomuda",711
2021-12-12 17:27,Twisted Sister,We're Not Gonna Take It,0
2021-12-12 17:27,Rocco DeLuca,Crash of Worlds,0
2021-12-12 17:27,Yoko Takahashi,残酷な天使のテーゼ,305
2021-12-12 17:27,David Ferguson,The Housebuilding Song,23
2021-12-12 17:27,Rod Stewart,Da Ya Think I'm Sexy?,0
2021-12-12 17:27,Vete a la Versh,Horrible,0
2021-12-12 17:27,Ilan Eshkeri,Jin Sakai,0
2021-12-12 17:27,Destripando la Historia,Odín,0
2021-12-12 17:27,Vete a la Versh,Tiempo,23
2021-12-12 17:27,Destripando la Historia,Thor - 2019 Remaster,0
2021-12-12 17:27,Mägo de Oz,El Cervezo - El árbol de la birra,0
2021-12-12 17:27,Eminem,Without Me,0
2021-12-12 17:27,Metalocalypse: Dethklok,Murmaider,0
2021-12-12 17:27,Vete a la Versh,Perra,0
2021-12-12 17:27,Metallica,Fuel,23
2021-12-12 17:31,Turisas,Rasputin,241263
2021-12-12 17:36,Eminem,Without Me,290320
2021-12-12 17:39,Vete a la Versh,Horrible,221423
2021-12-12 17:42,Vete a la Versh,Perra,149693
2021-12-12 17:45,Vete a la Versh,Tiempo,206666
2021-12-12 17:49,Metalocalypse: Dethklok,Murmaider,204360
2021-12-12 17:53,Mägo de Oz,El Cervezo - El árbol de la birra,280160
2021-12-12 18:18,Destripando la Historia,Odín,180800
2021-12-15 03:49,Vete a la Versh,Horrible,398
2021-12-15 03:49,Destripando la Historia,Odín,636
2021-12-15 03:49,Vete a la Versh,Tiempo,224
2021-12-15 03:49,Mägo de Oz,El Cervezo - El árbol de la birra,284
2021-12-15 03:49,Eminem,Without Me,0
